Country,Happiness,Life satisfaction,Meaning of life,Friends importance,Family importance,Emph. on family,Proud parents,Nb of children,% Housewife,Wave
Argentina,0.91,6.92,3.18,3.30,3.85,0.96,0.70,1.95,19.30,1995-1999
Australia,1.31,7.55,3.16,3.57,3.88,0.94,0.47,1.66,11.50,1995-1999
Chile,0.86,6.91,3.28,2.85,3.84,0.82,0.61,02.05,27.10,1995-1999
China,0.89,6.83,2.72,03.09,3.74,0.85,0.60,1.79,3.90,1995-1999
Taiwan,1.10,6.56,2.93,3.14,3.75,0.93,0.37,2.31,18.80,1995-1999
Colombia,1.15,8.31,3.61,3.18,3.86,0.99,1.26,2.00,22.80,1995-1999
Georgia,0.37,4.68,3.64,3.70,3.93,0.94,01.01,1.43,,1995-1999
Germany,0.77,6.93,3.25,3.35,3.75,0.82,0.23,1.39,6.40,1995-1999
India,0.80,6.53,2.59,3.11,3.89,0.46,1.19,2.32,29.60,1995-1999
Iraq,,,,,,,,,,
Japan,1.12,6.61,03.01,3.40,3.86,0.80,-0.29,1.72,16.20,1995-1999
Jordan,,,,,,,,,,
South Korea,0.89,,,3.40,3.89,0.84,0.29,1.77,22.30,1995-1999
Mexico,0.58,7.54,2.85,2.87,3.66,0.75,0.83,2.32,18.60,1995-1999
Moldova,-0.16,3.73,3.26,2.88,3.75,0.90,0.72,1.97,4.70,1995-1999
Morocco,,,,,,,,,,
New Zealand,1.22,7.70,3.24,3.52,3.92,0.90,0.25,2.17,6.40,1995-1999
Nigeria,1.13,6.60,3.35,3.41,3.97,0.84,1.61,2.22,9.50,1995-1999
Peru,0.54,6.36,03.06,2.72,3.86,0.93,1.13,02.04,21.30,1995-1999
Philippines,1.24,6.84,3.24,3.25,3.96,0.93,1.18,2.39,15.50,1995-1999
Poland,0.87,6.42,,03.09,3.88,0.92,0.93,02.01,,1995-1999
Romania,0.12,4.86,3.33,2.84,3.86,0.91,0.97,1.40,10.80,1995-1999
Russia,0.01,4.45,3.20,03.06,3.79,0.95,0.34,1.57,3.50,1995-1999
Slovenia,0.59,6.46,03.06,3.27,3.76,0.89,0.42,1.49,6.00,1995-1999
South Africa,0.75,5.59,3.11,2.76,3.90,0.85,1.32,2.28,8.50,1995-1999
Spain,0.91,6.61,2.80,3.29,3.80,0.91,0.80,1.74,22.60,1995-1999
Sweden,1.27,7.77,2.94,3.68,3.88,0.85,-0.04,1.56,0.80,1995-1999
Turkey,1.26,6.20,3.18,3.69,3.96,0.95,1.44,2.86,37.60,1995-1999
Ukraine,-0.07,3.95,3.14,3.14,3.80,0.88,0.28,1.59,3.80,1995-1999
Egypt,,,,,,,,,,
United States,1.34,7.67,3.22,3.64,3.94,0.93,0.74,02.02,9.80,1995-1999
Uruguay,0.78,07.06,3.13,3.42,3.89,0.93,0.53,02.08,11.90,1995-1999
Serbia,0.50,5.56,3.20,3.41,3.86,0.93,0.72,1.45,14.80,1995-1999
Montenegro,0.52,6.21,2.99,3.38,3.88,0.95,01.08,1.96,10.80,1995-1999
