Country,Happiness,Life satisfaction,Meaning of life,Friends importance,Family importance,Emph. on family,Proud parents,Nb of children,% Housewife,Wave
Argentina,01.06,7.49,2.67,3.39,3.87,,0.84,1.79,,2010-2014
Australia,1.20,7.2,3.11,3.42,3.90,,0.62,1.66,4.8,2010-2014
Chile,0.93,7.27,03.02,03.09,3.90,,0.98,1.92,17.6,2010-2014
China,0.85,6.85,2.36,3.33,3.82,,0.35,1.44,7.5,2010-2014
Taiwan,01.06,6.9,2.91,3.31,3.89,,0.91,1.68,12.8,2010-2014
Colombia,1.39,8.39,3.37,2.99,3.84,,1.25,1.95,15.7,2010-2014
Georgia,0.56,5.45,3.71,3.71,3.98,,1.35,1.58,13.2,2010-2014
Germany,0.91,7.36,2.87,3.44,3.73,,0.59,1.4,4.7,2010-2014
India,1.11,6.52,2.61,3.24,3.93,,1.47,2.56,30.9,2010-2014
Iraq,0.43,5.91,2.93,3.33,3.92,,1.53,2.62,36.2,2010-2014
Japan,01.07,6.91,2.88,3.32,3.85,,0.44,1.57,15.7,2010-2014
Jordan,0.88,6.61,3.35,3.40,3.96,,1.77,3.28,41.3,2010-2014
South Korea,0.95,6.51,3.24,3.43,3.90,,0.91,1.58,14.2,2010-2014
Mexico,1.56,8.51,3.29,03.12,3.97,,1.37,2.26,27.00,2010-2014
Moldova,,,,,,,,,,
Morocco,0.72,5.94,3.24,03.08,3.89,,1.62,1.78,5.2,2010-2014
New Zealand,1.20,7.65,03.03,3.44,3.88,,0.22,2.15,6.2,2010-2014
Nigeria,1.21,6.25,3.48,3.56,3.98,,1.73,1.83,12.4,2010-2014
Peru,0.87,7.14,03.06,2.75,3.85,,1.27,02.01,16,2010-2014
Philippines,1.27,7.33,3.49,3.19,3.99,,1.57,2.84,17.5,2010-2014
Poland,1.9,07.09,2.86,3.30,3.89,,0.85,1.64,3.2,2010-2014
Romania,0.48,6.69,3.31,2.94,3.91,,0.95,1.49,15.8,2010-2014
Russia,0.64,6.17,2.86,3.10,3.82,,0.73,1.27,4.9,2010-2014
Slovenia,0.85,7.35,2.89,3.36,3.86,,0.64,1.51,2.4,2010-2014
South Africa,0.87,6.63,2.95,3.22,3.90,,1.31,1.48,7.2,2010-2014
Spain,0.88,6.79,2.74,3.45,3.90,,0.91,1.43,13.2,2010-2014
Sweden,1.29,7.55,2.89,3.64,3.88,,0.34,1.44,0.3,2010-2014
Turkey,01.02,7.24,3.16,3.54,3.95,,1.54,1.84,34.6,2010-2014
Ukraine,0.53,5.9,03.05,3.28,3.91,,0.90,1.33,4.2,2010-2014
Egypt,-0.87,4.85,3.29,3.41,3.97,,1.71,1.37,37.4,2010-2014
United States,1.14,7.37,03.08,3.44,3.88,,0.75,1.69,6.8,2010-2014
Uruguay,01.05,7.6,2.91,3.30,3.86,,0.61,1.86,8.4,2010-2014
Serbia,,,,,,,,,,
Montenegro,,,,,,,,,,
