Country,Happiness,Life satisfaction,Meaning of life,Friends importance,Family importance,Emph. on family,Proud parents,Nb of children,% Housewife,Wave
Argentina,01.07,7.79,2.96,3.42,3.90,0.93,0.80,1.95,17.8,2005-2009
Australia,1.18,7.28,3.15,3.49,3.91,0.88,0.47,02.02,7.00,2005-2009
Chile,0.88,7.16,2.97,2.71,3.88,0.86,01.11,2.26,25.3,2005-2009
China,0.70,6.76,2.81,03.05,3.73,0.85,0.42,1.68,7.7,2005-2009
Taiwan,0.89,6.58,2.93,3.32,3.91,0.96,0.87,1.8,13.2,2005-2009
Colombia,1.22,8.31,3.48,,,0.98,,,20.00,2005-2009
Georgia,0.42,4.96,3.60,3.75,3.98,0.91,1.14,1.6,13.00,2005-2009
Germany,0.83,7.13,2.88,3.46,3.78,0.84,-0.02,1.54,4.7,2005-2009
India,0.77,5.8,2.38,3.19,3.88,0.71,1.20,2.58,29,2005-2009
Iraq,-0.04,4.46,2.92,3.44,3.95,,1.68,2.82,40.1,2005-2009
Japan,01.05,6.99,2.96,3.34,3.86,0.84,0.33,1.66,17.2,2005-2009
Jordan,01.01,7.12,3.50,3.53,3.96,0.97,1.40,2.94,,2005-2009
South Korea,0.87,6.35,3.26,3.38,3.92,0.87,0.65,1.68,25.7,2005-2009
Mexico,1.39,8.23,3.24,03.10,3.93,0.94,1.21,2.52,30.9,2005-2009
Moldova,0.00,5.45,3.47,2.96,3.81,0.90,0.95,1.63,6.6,2005-2009
Morocco,0.84,5.25,3.43,3.34,3.95,0.90,1.59,2.21,5.8,2005-2009
New Zealand,1.32,7.89,2.57,3.42,3.92,0.88,0.12,02.09,7.9,2005-2009
Nigeria,,,,,,,,,,
Peru,0.61,07.04,2.92,2.70,3.79,0.93,1.10,2.13,21.3,2005-2009
Philippines,,,,,,,,,,
Poland,0.99,07.02,2.95,3.26,3.92,0.89,0.98,1.66,2.9,2005-2009
Romania,0.11,5.75,3.27,2.86,3.79,0.83,0.53,1.71,13.2,2005-2009
Russia,0.43,06.09,03.06,3.22,3.85,0.89,0.87,1.33,5.5,2005-2009
Slovenia,0.77,7.24,2.93,3.40,3.85,0.91,0.57,1.43,4.7,2005-2009
South Africa,0.93,07.03,3.31,2.98,3.95,0.85,1.40,1.81,5.2,2005-2009
Spain,0.97,7.32,2.69,3.43,3.87,0.90,0.82,1.49,17.4,2005-2009
Sweden,1.35,7.74,2.94,3.69,3.91,0.76,-0.33,1.56,0.4,2005-2009
Turkey,01.06,7.46,3.34,3.58,3.97,0.87,1.37,1.88,34.6,2005-2009
Ukraine,0.58,5.67,2.99,3.16,3.82,0.76,0.55,1.26,5.8,2005-2009
Egypt,0.74,5.74,3.38,3.31,3.98,0.96,1.58,2.8,39.2,2005-2009
United States,1.20,7.32,3.11,3.53,3.93,0.86,0.65,,8.9,2005-2009
Uruguay,01.01,7.46,2.95,3.31,3.88,0.82,0.79,02.03,14.2,2005-2009
Serbia,0.32,06.01,2.86,3.48,3.91,0.81,0.62,1.32,8.5,2005-2009
Montenegro,0.32,06.01,2.86,3.48,3.91,0.81,0.62,1.32,8.5,2005-2009
