Country,Happiness,Life satisfaction,Meaning of life,Friends importance,Family importance,Emph. on family,Proud parents,Nb of children,% Housewife,Housewife as fulfilling as work,Work importance,Financial satisfaction,Income/person,% Poverty,Life expectancy,Wave
Argentina,0.91,6.92,3.18,3.30,3.85,0.96,0.70,1.95,19.30,0.31,3.66,4.98,14437.00,04.02,73.9,1995-1999
Australia,1.31,7.55,3.16,3.57,3.88,0.94,0.47,1.66,11.50,0.47,3.31,6.38,40237.00,1.34,79.4,1995-1999
Chile,0.86,6.91,3.28,2.85,3.84,0.82,0.61,02.05,27.10,0.49,3.51,5.90,17263.00,2.26,76.9,1995-1999
China,0.89,6.83,2.72,03.09,3.74,0.85,0.60,1.79,3.90,0.46,3.50,6.11,3737.50,36.70,69.6,1995-1999
Taiwan,1.10,6.56,2.93,3.14,3.75,0.93,0.37,2.31,18.80,0.90,3.32,6.11,37879.25,,75.3,1995-1999
Colombia,1.15,8.31,3.61,3.18,3.86,0.99,1.26,2.00,22.80,0.45,3.70,8.00,10751.50,14.59,73.2,1995-1999
Georgia,0.37,4.68,3.64,3.70,3.93,0.94,01.01,1.43,,0.86,3.26,03.07,3531.75,13.20,71.4,1995-1999
Germany,0.77,6.93,3.25,3.35,3.75,0.82,0.23,1.39,6.40,-0.28,3.32,6.19,43403.50,,77.8,1995-1999
India,0.80,6.53,2.59,3.11,3.89,0.46,1.19,2.32,29.60,0.35,3.78,6.14,2829.50,,61.2,1995-1999
Iraq,,,,,,,,,,,,,10915.50,,65.9,1995-1999
Japan,1.12,6.61,03.01,3.40,3.86,0.80,-0.29,1.72,16.20,0.82,3.33,6.33,39691.00,,80.6,1995-1999
Jordan,,,,,,,,,,,,,9377.25,1.49,73.2,1995-1999
South Korea,0.89,,,3.40,3.89,0.84,0.29,1.77,22.30,01.08,3.45,5.69,22511.50,,75.8,1995-1999
Mexico,0.58,7.54,2.85,2.87,3.66,0.75,0.83,2.32,18.60,0.28,3.48,7.18,16828.50,8.24,74.1,1995-1999
Moldova,-0.16,3.73,3.26,2.88,3.75,0.90,0.72,1.97,4.70,0.44,3.27,03.06,3051.50,25.62,68.4,1995-1999
Morocco,,,,,,,,,,,,,5308.50,6.76,71.1,1995-1999
New Zealand,1.22,7.70,3.24,3.52,3.92,0.90,0.25,2.17,6.40,0.43,3.33,6.46,32765.00,,78.2,1995-1999
Nigeria,1.13,6.60,3.35,3.41,3.97,0.84,1.61,2.22,9.50,-0.21,3.82,5.71,3484.25,68.65,55.2,1995-1999
Peru,0.54,6.36,03.06,2.72,3.86,0.93,1.13,02.04,21.30,0.36,3.63,5.12,7959.50,10.38,73.9,1995-1999
Philippines,1.24,6.84,3.24,3.25,3.96,0.93,1.18,2.39,15.50,0.86,3.79,06.04,5145.25,23.70,69.2,1995-1999
Poland,0.87,6.42,,03.09,3.88,0.92,0.93,02.01,,0.16,3.53,4.37,15630.00,0.72,73.1,1995-1999
Romania,0.12,4.86,3.33,2.84,3.86,0.91,0.97,1.40,10.80,0.18,3.51,3.84,12855.25,2.29,70.6,1995-1999
Russia,0.01,4.45,3.20,03.06,3.79,0.95,0.34,1.57,3.50,0.60,3.22,3.30,14621.75,2.77,65.9,1995-1999
Slovenia,0.59,6.46,03.06,3.27,3.76,0.89,0.42,1.49,6.00,0.47,3.48,5.36,24815.25,0.02,75.7,1995-1999
South Africa,0.75,5.59,3.11,2.76,3.90,0.85,1.32,2.28,8.50,0.16,3.68,4.24,12285.75,21.43,57.9,1995-1999
Spain,0.91,6.61,2.80,3.29,3.80,0.91,0.80,1.74,22.60,0.27,3.45,5.64,34168.25,1.67,78.8,1995-1999
Sweden,1.27,7.77,2.94,3.68,3.88,0.85,-0.04,1.56,0.80,0.49,3.54,6.26,40946.50,0.34,79.5,1995-1999
Turkey,1.26,6.20,3.18,3.69,3.96,0.95,1.44,2.86,37.60,0.88,3.68,05.09,15505.00,,71.5,1995-1999
Ukraine,-0.07,3.95,3.14,3.14,3.80,0.88,0.28,1.59,3.80,0.52,3.16,3.00,5786.75,1.97,67.7,1995-1999
Egypt,,,,,,,,,,,,,8774.50,2.46,69,1995-1999
United States,1.34,7.67,3.22,3.64,3.94,0.93,0.74,02.02,9.80,0.81,3.34,6.47,52407.00,1.00,76.9,1995-1999
Uruguay,0.78,07.06,3.13,3.42,3.89,0.93,0.53,02.08,11.90,0.51,3.62,6.70,15818.25,0.66,74.3,1995-1999
Serbia,0.50,5.56,3.20,3.41,3.86,0.93,0.72,1.45,14.80,0.66,3.51,3.97,9424.00,,71,1995-1999
Montenegro,0.52,6.21,2.99,3.38,3.88,0.95,01.08,1.96,10.80,0.48,3.34,4.71,11790.00,,73,1995-1999
Average,0.79,6.39,3.13,3.25,3.85,0.88,0.72,1.92,14.10,0.48,3.48,5.38,17821.65,10.51,72.04,1995-1999
